OBJECTID,LIEN_WWW
"184",https://ge.ch/terextraitfoncier/rapport.aspx?commune=26&parcelle=626
"185",https://ge.ch/terextraitfoncier/rapport.aspx?commune=25&parcelle=2069
"186",https://ge.ch/terextraitfoncier/rapport.aspx?commune=6&parcelle=3437
"187",https://ge.ch/terextraitfoncier/rapport.aspx?commune=7&parcelle=7550
"188",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=2417
"189",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=2355
"190",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10211
"191",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=3987
"192",https://ge.ch/terextraitfoncier/rapport.aspx?commune=40&parcelle=1893
"193",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7678
"194",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=4411
"195",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7352
"196",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=4032
"197",https://ge.ch/terextraitfoncier/rapport.aspx?commune=40&parcelle=2035
"198",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7935
"199",https://ge.ch/terextraitfoncier/rapport.aspx?commune=42&parcelle=10449
"200",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10559
"201",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10560
"202",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7360
"203",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10872
"204",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10959
"205",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10444
"206",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10789
"207",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=4638
"208",https://ge.ch/terextraitfoncier/rapport.aspx?commune=12&parcelle=2162
"209",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=8083
"210",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=8094
"211",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10805
"212",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10111
"213",https://ge.ch/terextraitfoncier/rapport.aspx?commune=13&parcelle=3484
"214",https://ge.ch/terextraitfoncier/rapport.aspx?commune=13&parcelle=2238
"215",https://ge.ch/terextraitfoncier/rapport.aspx?commune=12&parcelle=1761
"216",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=5338
"217",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=5858
"218",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=5397
"219",https://ge.ch/terextraitfoncier/rapport.aspx?commune=13&parcelle=4476
"220",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10868
"221",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=8040
